listing_id,category,governorate,city,location_full,location_name,property_type,price_egp,price_period,price_per_sqm,size_sqm,bathrooms,latitude,longitude,is_verified,is_premium,title,agent_name,broker_name,scraped_date
73767816,Shop,Cairo,New Cairo,"1st Settlement Post office St., The 1st Settlement, New Cairo City, Cairo",1st Settlement Post office St.,Shop,180000,monthly,1000.0,180,1,30.067461013793945,31.46055030822754,False,True,HOT DEAL | Finished SHOP 180M FOR RENT,Mariam Mostafa,Summit Real Estate,2026-05-12
68270489,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,100000,monthly,1492.54,67,1,30.031299591064453,30.99361991882324,False,True,"Shop 67 meters,prime location, Immediate operation",Ritzy Developments,Ritzy Developments,2026-05-12
73236074,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,350000,monthly,972.22,360,1,30.07310104370117,31.53912734985352,False,True,Café / Restaurant directly on the main 90th Street,Mariam Mostafa,Summit Real Estate,2026-05-12
73775114,Shop,Cairo,New Cairo,"Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",Mohamed Naguib Axis,Shop,375000,monthly,1250.0,300,4,30.030086517333984,31.4747314453125,False,True,Gym for rent-300m-First-Mohamed Naguib Axis,click,CLICK,2026-05-12
67728967,Shop,Alexandria,Alexandria,"Al Moaskar Al Romani St., Roushdy, Hay Sharq, Alexandria",Al Moaskar Al Romani St.,Shop,110000,monthly,578.95,190,1,31.22925567626953,29.9491024017334,False,True,Shop for Rent in Roushdy - 7 m Frontage,Mostafa Elmessery,I-Property,2026-05-12
71134254,Shop,Cairo,New Cairo,"Granoy, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Granoy,Shop,86000,monthly,1457.63,59,1,30.02072525024414,31.43012428283692,False,True,Shop for rent for all purposes - Granway Mall,Top Homes Egypt,Top Homes Real Estate,2026-05-12
71126550,Shop,Giza,6th of October,"Park Yard Mall, 1st District, 6 October City, Giza",Park Yard Mall,Shop,95000,monthly,1187.5,80,1,29.96586799621582,30.94819068908692,False,True,Shop For Rent In El Hosary Square,marwan khodier,Driven Properties,2026-05-12
64646271,Shop,Alexandria,Alexandria,"Al Hedaya Mosque St., Saba Basha, Hay Sharq, Alexandria",Al Hedaya Mosque St.,Shop,50000,monthly,257.73,194,1,31.2361068725586,29.95205879211425,False,True,licensed commercial suitable for all brands,youssef saeed,Remax Professional.,2026-05-12
67220824,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,85000,monthly,1545.45,55,1,29.97930145263672,31.43766021728516,False,True,محل للايجار فى افضل موقع فى التجمع الخامس,Ahmed soudi,Al Ofok Investment,2026-05-12
73232970,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,21000,monthly,700.0,30,2,30.05227470397949,31.44463348388672,False,True,Cairo First Mall,القاهرة للمراكز التجاريه والأستثمار العقارى,القاهرة للمراكز التجاريه والأستثمار العقارى,2026-05-12
72717324,Shop,Alexandria,Alexandria,"Al Shahid Mohamed Youssef Ghaly St. (45 Previous), Sidi Beshr, Hay Awal El Montazah, Alexandria",Al Shahid Mohamed Youssef Ghaly St. (45 Previous),Shop,45000,monthly,450.0,100,1,31.25968360900879,29.98715591430664,False,True,محل  للايجار شارع 45 الرئيسى للتوكيلات والبراندات,RCR Real estate,RCR for real estate,2026-05-12
7364011,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,20000,monthly,666.67,30,2,30.05227470397949,31.44463348388672,False,True,Cairo First Mall,القاهرة للمراكز التجاريه والأستثمار العقارى,القاهرة للمراكز التجاريه والأستثمار العقارى,2026-05-12
6310220,Shop,Cairo,New Cairo,"The 1st Settlement, New Cairo City, Cairo",The 1st Settlement,Shop,75000,monthly,513.7,146,2,30.040746688842773,31.47093772888184,False,True,Cairo First Mall - First Settlement,القاهرة للمراكز التجاريه والأستثمار العقارى,القاهرة للمراكز التجاريه والأستثمار العقارى,2026-05-12
7493683,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,10000,monthly,500.0,20,2,30.05227470397949,31.44463348388672,False,True,Cairo First Mall - First Settlement,القاهرة للمراكز التجاريه والأستثمار العقارى,القاهرة للمراكز التجاريه والأستثمار العقارى,2026-05-12
73766914,Shop,Cairo,New Cairo,"Mirage City, The 1st Settlement, New Cairo City, Cairo",Mirage City,Shop,200000,monthly,1000.0,200,1,30.0755672454834,31.43722915649414,False,False,"FOR RENT | Shop 200m , Finished , Prime location",Mariam Mostafa,Summit Real Estate,2026-05-12
72452963,Shop,Giza,Giza,"Shooting Club Street, Dokki, Giza",Shooting Club Street,Shop,30000,monthly,666.67,45,1,30.043678283691406,31.208738327026367,False,False,Commercial space for rent in the Hunting Club area,محمد زكي,Property insider,2026-05-12
69573877,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,100000,monthly,1492.54,67,1,30.031299591064453,30.99361991882324,False,False,"Shop67Meters For rent,Main frontage,Prime location",Ritzy Developments,Ritzy Developments,2026-05-12
71655412,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,250000,monthly,2252.25,111,1,30.031299591064453,30.99361991882324,False,False,111Meters in prime location-Ready for operation,Ritzy Developments,Ritzy Developments,2026-05-12
6690274,Shop,Alexandria,Alexandria,"Salah Salem St., El Mansheya, Hay El Gomrok, Alexandria",Salah Salem St.,Shop,80000,monthly,412.37,194,2,31.23436164855957,29.97811317443848,False,False,Shop for Rent in Raml Station - 22 m Frontage,Mustafa Zaki,I-Property,2026-05-12
72180497,Shop,Giza,6th of October,"West Gate, 6 October Compounds, 6 October City, Giza",West Gate,Shop,40000,monthly,588.24,68,1,29.957908630371094,30.91575813293457,False,False,Hot Deal Shop 68M For Rent In West Gate Mall,Ali Hassa,Driven Properties,2026-05-12
71908418,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,29768,monthly,661.51,45,none,30.02341079711914,31.486873626708984,False,False,Commercial instant delivery in Riviera Heights 45m,Novus Stanza Adel,Novus Stanza,2026-05-12
70624393,Shop,Cairo,New Cairo,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Bank Center Street,Shop,70000,monthly,1000.0,70,1,30.01827621459961,31.421613693237305,False,False,Shop for rent in the Banks Complex,Hossam Tarek,The Broker EG,2026-05-12
70373360,Shop,Cairo,New Cairo,"Al Yasmeen Square, El Yasmeen, New Cairo City, Cairo",Al Yasmeen Square,Shop,80000,monthly,800.0,100,none,30.026779174804688,31.4434814453125,False,False,For rent at the lowest price per square meter in a,dalia kmg,KMG Real Estate,2026-05-12
65916483,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,500000,monthly,1597.44,313,1,30.014663696289062,31.406206130981445,False,False,Prime View BANK For Rent 500K/Month in GOLDEN SQ,Ibrahem Mohamed,Summit Real Estate,2026-05-12
68269234,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,875000,monthly,1750.0,500,1,30.07310104370117,31.53912734985352,False,False,shop 500 m rent in a commercial mall in New Cairo,Ibrahem Mohamed,Summit Real Estate,2026-05-12
69839127,Shop,Cairo,New Cairo,"Downtown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Downtown,Shop,300000,monthly,1500.0,200,none,30.016817092895508,31.41212654113769,False,False,Retail Space for Rent Downtown Mall New Cairo 200,Mostafa Ismail,RE/MAX Al Mohager,2026-05-12
68268103,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,250000,monthly,2252.25,111,1,30.031299591064453,30.99361991882324,False,False,111Meters in strategic location-Ready for delivery,Ritzy Developments,Ritzy Developments,2026-05-12
53730619,Shop,Cairo,Cairo,"Capital East, Nasr City Compounds, Nasr City, Cairo",Capital East,Shop,15000,monthly,428.57,35,1,30.0338191986084,31.35781478881836,False,False,"35sqm shop for rent – Capital East, Nasr City",ahmed wageb,Ahmed Wageb for real estate investment,2026-05-12
67738245,Shop,Cairo,Cairo,"Gamea Saqr Quraish St., New Maadi, Hay El Maadi, Cairo",Gamea Saqr Quraish St.,Shop,175000,monthly,1060.61,165,1,29.985206604003903,31.28484535217285,False,False,Shops for rent at the lowest price per meter in a,KMG KMG,KMG Real Estate,2026-05-12
67738178,Shop,Cairo,Cairo,"Heliopolis Square, Heliopolis Square, El Nozha, Cairo",Heliopolis Square,Shop,150000,monthly,600.0,250,2,30.10805892944336,31.33824920654297,False,False,Shops for rent at the lowest price per meter in th,KMG KMG,KMG Real Estate,2026-05-12
66694158,Shop,Alexandria,Alexandria,"Mustafa Kamel, Hay Sharq, Alexandria",Mustafa Kamel,Shop,30000,monthly,789.47,38,1,31.229522705078125,29.94658851623535,False,False,"Pharmacy for rent, 38 sq m, Mustafa Kamel",Mostafa  shokr,شقتي للتسويق العقاري و ادارة المشروعات,2026-05-12
64131744,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,250000,monthly,2252.25,111,2,30.031299591064453,30.99361991882324,False,False,"Shop111 meters,Direct Frontage,Immediate operation",Ritzy Developments,Ritzy Developments,2026-05-12
65920093,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,85000,monthly,850.0,100,none,30.07733917236328,30.95166206359864,False,False,Shop for rent 100 sqm in Sheikh Zayed malls,Osama AbdelGhafar,Inspire Homes,2026-05-12
73772389,Shop,Cairo,New Cairo,"Street 70, District 1, The 5th Settlement, New Cairo City, Cairo",Street 70,Shop,37000,monthly,1761.9,21,1,30.0146427154541,31.436044692993164,False,False,Shop for rent in the First District SevenStarsMall,Mohamed Rasheed,D COMUNITA RE,2026-05-12
69575946,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,78000,monthly,795.92,98,1,30.07733917236328,30.95166206359864,False,False,"Licensed shop for rent, 98 sqm, private bath",Abdulrahman Ghanem,Inspire Homes,2026-05-12
8577767,Shop,Alexandria,Alexandria,"Abdel Salam Aref St., Glim, Hay Sharq, Alexandria",Abdel Salam Aref St.,Shop,37000,monthly,616.67,60,1,31.252660751342773,29.97629165649414,False,False,محل للايجار فى جليم على الترام مباشرة واجهة مميزة,RCR Real estate,RCR for real estate,2026-05-12
66423922,Shop,Alexandria,Alexandria,"Al Geish Road, Raml Station, Hay Wasat, Alexandria",Al Geish Road,Shop,25000,monthly,925.93,27,1,31.27973747253418,30.00946998596192,False,False,محل تجاري للايجار  –   محطة الرمل,Zeze  Medhat,New Home for Realestate,2026-05-12
6304723,Shop,Cairo,Shorouk,"Al Shorouk Road, 1st Neighborhood, 8th District, Shorouk City, Cairo",Al Shorouk Road,Shop,75000,monthly,394.74,190,2,30.158838272094727,31.600067138671875,False,False,El Sherouk Mall - El Sherouk City,القاهرة للمراكز التجاريه والأستثمار العقارى,القاهرة للمراكز التجاريه والأستثمار العقارى,2026-05-12
72181151,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,35000,monthly,1000.0,35,none,30.040746688842773,31.47093772888184,False,False,محل للإيجار بالتجمع الخمس على الوجهاء مباشر مميز,Akram elhady,El Hady Real Estate Investment,2026-05-12
70878225,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,35000,monthly,357.14,98,1,30.040746688842773,31.47093772888184,False,False,محل للإيجار على وجها المول مبارش موقع تجارى مميز,Akram elhady,El Hady Real Estate Investment,2026-05-12
70878044,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,35000,monthly,411.76,85,1,30.040746688842773,31.47093772888184,False,False,محل للإيجار بالتجمع الخامس على وجها المول دور اول,Akram elhady,El Hady Real Estate Investment,2026-05-12
70355342,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,40000,monthly,470.59,85,1,30.040746688842773,31.47093772888184,False,False,محل على واجه المول مباشر دور اول موقع تجارى قوى,Akram elhady,El Hady Real Estate Investment,2026-05-12
68800578,Shop,Cairo,New Cairo,"The 1st Settlement, New Cairo City, Cairo",The 1st Settlement,Shop,25000,monthly,277.78,90,1,30.040746688842773,31.47093772888184,False,False,محل لإيجار بالتجمع الأول دور اول على واجه المول,Akram elhady,El Hady Real Estate Investment,2026-05-12
74037277,Shop,Giza,Giza,"Mosadak St., Dokki, Giza",Mosadak St.,Shop,275000,monthly,550.0,500,2,30.040098190307617,31.207847595214844,False,False,Shop For Rent Dokki Main Mosadak Street 500 Sqm,New Avenue W,New Avenue Real Estate,2026-05-12
74037954,Shop,Cairo,Cairo,"Zahraa Al Maadi St., Degla, Hay El Maadi, Cairo",Zahraa Al Maadi St.,Shop,70000,monthly,636.36,110,2,29.96552276611328,31.2801513671875,False,False,Commercial Space For Rent| 110m²| Zahraa .,Regypt Commercial ,Regypt,2026-05-12
74038828,Shop,Cairo,New Cairo,"New Cairo Centre, North Teseen St., The 5th Settlement, New Cairo City, Cairo",New Cairo Centre,Shop,105000,monthly,1750.0,60,none,30.02095413208008,31.42465591430664,False,False,Commercial Shop for Rent – New Cairo,Muhammad  Al halaby,ERA Real Estate Egypt,2026-05-12
74029596,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,450000,monthly,1363.64,330,2,30.076255798339844,30.94744110107422,False,False,Shop for sale The Strip Mall Dahshur SODIC.,Ahmed Mohamed ,Topaz Real Estate,2026-05-12
74029503,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,275000,monthly,1000.0,275,2,30.076255798339844,30.94744110107422,False,False,Shop For rent The Strip Mall Dahshur SODIC.,Ahmed Mohamed ,Topaz Real Estate,2026-05-12
74028873,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,150000,monthly,1500.0,100,1,30.07310104370117,31.53912734985352,False,False,Commercial Space For Rent|100m²| New Cairo .,Regypt Commercial ,Regypt,2026-05-12
74028647,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,1500000,monthly,1875.0,800,4,30.076255798339844,30.94744110107422,False,False,Ground floor and first floor independent corner,Ashraf Mohamed,Guides Real Estate,2026-05-12
74027362,Shop,Giza,Sheikh Zayed,"Silver Gate Mall, 12th District, Sheikh Zayed City, Giza",Silver Gate Mall,Shop,55000,monthly,670.73,82,none,30.045455932617188,30.983924865722656,False,False,a shop for rent in the heart of Sheikh Zayed,Salma  Darwish,Jareed Real Estate,2026-05-12
73776943,Shop,Giza,Hay El Haram,"Al Malek Faisal St., Awel Faisal, Faisal, Hay El Haram, Giza",Al Malek Faisal St.,Shop,180000,monthly,500.0,360,2,30.01032257080078,31.190507888793945,False,False,Shop for Rent | Prime Location | Faisal,Ahmad Raafat,Emkan for Real Estate,2026-05-12
73776923,Shop,Cairo,Cairo,"50th Street, Zahraa El Maadi, Hay El Maadi, Cairo",50th Street,Shop,450000,monthly,375.0,1200,2,29.9692611694336,31.32666778564453,False,False,A Shop suitable for major showrooms | Maadi,Ahmad Raafat,Emkan for Real Estate,2026-05-12
73774553,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,168350,monthly,1295.0,130,2,29.97930145263672,31.43766021728516,False,False,Clothing store for rent-130m-Ground-Abdel Nasser,click,CLICK,2026-05-12
73774403,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,316250,monthly,1150.0,275,4,29.97930145263672,31.43766021728516,False,False,Gym for rent-300m-First-Gamal Abdel Nasser Axis,click,CLICK,2026-05-12
73773560,Shop,Giza,Sheikh Zayed,"Silver Gate Mall, 12th District, Sheikh Zayed City, Giza",Silver Gate Mall,Shop,55000,monthly,1309.52,42,1,30.045455932617188,30.983924865722656,False,False,Ground Shop For Rent 42 Sqm Silver Gate Zayed city,Abd elrahman Badawy,Abrag 2,2026-05-12
73772568,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,201500,monthly,876.09,230,1,30.014663696289062,31.406206130981445,False,False,Shop for rent+outdoor direct on 90ST-Best Price,Global  Marketing,Global Marketing Real Estate,2026-05-12
73771430,Shop,Cairo,Cairo,"50th Street, Zahraa El Maadi, Hay El Maadi, Cairo",50th Street,Shop,140000,monthly,400.0,350,1,29.9692611694336,31.32666778564453,False,False,"Shop for rent in a prime location on 50th Street,",Ziad Montaser,bnb,2026-05-12
73771428,Shop,Cairo,Cairo,"City Stars, Masaken Al Mohandesin, Nasr City, Cairo",City Stars,Shop,70000,monthly,1000.0,70,1,30.073036193847656,31.345508575439453,False,False,"Shop for rent in a prime location in City Stars,",Ziad Montaser,bnb,2026-05-12
73771058,Shop,Cairo,Cairo,"Fareed Semeika St., El Hegaz Square, El Nozha, Cairo",Fareed Semeika St.,Shop,250000,monthly,757.58,330,4,30.115028381347656,31.34295082092285,False,False,Commercial space for rent on Farid Smeika Street,Mohamed Emad,bnb,2026-05-12
73765614,Shop,Giza,Sheikh Zayed,"Central Avenue, 2nd District, Sheikh Zayed City, Giza",Central Avenue,Shop,216000,monthly,2000.0,108,none,30.027332305908203,31.011045455932617,False,False,"shop for rent in central avenue,108sqm,view plaza",Nouran Abo Elenien,Rokn Real Estate,2026-05-12
73765276,Shop,Cairo,Cairo,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",7th Sector,Shop,50000,monthly,250.0,200,2,29.97568130493164,31.283327102661133,False,False,Shop for rent in the Zahraa El Maadi,Ziad Montaser,bnb,2026-05-12
73764171,Shop,Giza,Sheikh Zayed,"The Courtyard, 12th District, Sheikh Zayed City, Giza",The Courtyard,Shop,40000,monthly,784.31,51,none,30.040565490722656,30.99054336547852,False,False,Shop in Silver Gate -Overlooking the plaza,Heba Helail,RE/MAX Everest,2026-05-12
73764151,Shop,Cairo,Mokattam,"Al Ahram St., Al Hadaba Al Olya, Mokattam, Cairo",Al Ahram St.,Shop,150000,monthly,187.5,800,7+,30.009510040283203,31.299835205078125,False,False,Shop for rent Cairo Mokkatam,Ali Saleh,ERA Real Estate Egypt,2026-05-12
73764051,Shop,Giza,Sheikh Zayed,"Silver Gate Mall, 12th District, Sheikh Zayed City, Giza",Silver Gate Mall,Shop,40000,monthly,800.0,50,none,30.045455932617188,30.983924865722656,False,False,Shop in Silver Gate -Overlooking the plaza,Heba Helail,RE/MAX Everest,2026-05-12
73761464,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,165750,monthly,850.0,195,1,30.07310104370117,31.53912734985352,False,False,"FOR RENT | Shop 195m , North 90th St - Park Mall",Mariam Mostafa,Summit Real Estate,2026-05-12
73506357,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,159500,monthly,1100.0,145,1,29.97930145263672,31.43766021728516,False,False,Market for rent-145m-Ground-Gamal Abdel Nasser Ax,click,CLICK,2026-05-12
73506152,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,316250,monthly,1150.0,275,4,29.97930145263672,31.43766021728516,False,False,Gym for rent-300m-First-Gamal Abdel Nasser Axis,click,CLICK,2026-05-12
73505729,Shop,Cairo,New Cairo,"American University Housing District, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",American University Housing District,Shop,372000,monthly,2496.64,149,1,30.00636863708496,31.500865936279297,False,False,Shop for rent 149m in a prime spot on South 90th,Top Homes Egypt,Top Homes Real Estate,2026-05-12
73504786,Shop,Giza,Giza,"Gameat Al Dewal Al Arabeya St., Mohandessin, Giza",Gameat Al Dewal Al Arabeya St.,Shop,150000,monthly,600.0,250,4,30.053590774536133,31.20247459411621,False,False,Two-level commercial shop for rent in Mohandiseen,Haitham Rashad,Guides Real Estate,2026-05-12
73504465,Shop,Giza,6th of October,"Golf Central, Cairo Alexandria Desert Road, 6 October City, Giza",Golf Central,Shop,550000,monthly,2000.0,275,none,29.9962215423584,31.037988662719727,False,False,shop 275m for rent in Golf Central palm hills,Wagdy Sawyrs,Rokn Real Estate,2026-05-12
73504426,Shop,Cairo,New Cairo,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Mivida,Shop,70000,monthly,2000.0,35,1,30.00575065612793,31.533998489379883,False,False,Finished shop+ACS+Prime location in Medical zone,Global  Marketing,Global Marketing Real Estate,2026-05-12
73504367,Shop,Cairo,Cairo,"Rayhana Residence, Zahraa El Maadi, Hay El Maadi, Cairo",Rayhana Residence,Shop,2500000,monthly,1470.59,1700,4,29.960378646850582,31.290023803710938,False,False,Shop for rent | Prime Location | Maadi,Ahmad Raafat,Emkan for Real Estate,2026-05-12
73504119,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,84000,monthly,857.14,98,1,30.07733917236328,30.95166206359864,False,False,Shop finished for rent in Walk of Cairo on Dahshur,Doha Saeed,Rokn Real Estate,2026-05-12
73504106,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,126000,monthly,1400.0,90,1,30.014663696289062,31.406206130981445,False,False,90m Shop for rent in a prime mall-next to 90st,Global  Marketing,Global Marketing Real Estate,2026-05-12
73503730,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,177000,monthly,786.67,225,1,30.014663696289062,31.406206130981445,False,False,shop for rent+outdoor space with best price- 90ST,Global  Marketing,Global Marketing Real Estate,2026-05-12
73503288,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,144000,monthly,1200.0,120,1,30.014663696289062,31.406206130981445,False,False,120m shop for rent -prime location direct on 90ST,Global  Marketing,Global Marketing Real Estate,2026-05-12
73502679,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,25000,monthly,714.29,35,1,29.97930145263672,31.43766021728516,False,False,Shop for Rent in The Mark Mall –Gamal Abdel Nasser,Global  Marketing,Global Marketing Real Estate,2026-05-12
73501881,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,208600,monthly,1400.0,149,1,30.014663696289062,31.406206130981445,False,False,149m Shop for Rent - South 90ST-Prime location,Global  Marketing,Global Marketing Real Estate,2026-05-12
73500610,Shop,Cairo,New Cairo,"Sway Mall, Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",Sway Mall,Shop,160200,monthly,1800.0,89,none,30.017772674560547,31.47322654724121,False,False,Ground Floor Shop for Rent with Outdoor Space - SW,Mohamed Rasheed,D COMUNITA RE,2026-05-12
73499352,Shop,Giza,Sheikh Zayed,"Arkan Palm 205, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Arkan Palm 205,Shop,187000,monthly,2493.33,75,none,30.02070426940918,31.005306243896484,False,False,Retail Unit for Rent Prime Location –El Bostan 205,ismael Sallam,Rokn Real Estate,2026-05-12
73499006,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,40440,monthly,898.67,45,none,30.02341079711914,31.486873626708984,False,False,Commercial instant delivery in Riviera Heights 45m,Novus Stanza Adel,Novus Stanza,2026-05-12
73498982,Shop,Giza,Sheikh Zayed,"Trivium Zayed, 2nd District, Sheikh Zayed City, Giza",Trivium Zayed,Shop,280000,monthly,1600.0,175,none,30.02603530883789,31.009408950805664,False,False,shop for sale in trivium Zayed very prime location,Nouran Abo Elenien,Rokn Real Estate,2026-05-12
73497475,Shop,Giza,6th of October,"Centrada Plaza, Juhayna Square, 6 October City, Giza",Centrada Plaza,Shop,50000,monthly,1000.0,50,none,30.008350372314453,30.983800888061523,False,False,Shop for  Rent at Centrada Plaza Mall at restauran,Medou Yehia,Jedar Real Estate,2026-05-12
73497459,Shop,Cairo,New Cairo,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Mivida,Shop,508000,monthly,2502.46,203,none,30.00575065612793,31.533998489379883,False,False,Prime Location Ground Floor Retail Shop at Mivida,Commercial Square,Commercial Square,2026-05-12
73497440,Shop,Cairo,New Cairo,"South Gate Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",South Gate Mall,Shop,175500,monthly,1500.0,117,none,30.026100158691406,31.47972679138184,False,False,shop 177m for rent in Ninety Walk Fifth Settlement,Mohamed El Sayed,Summit Real Estate,2026-05-12
73495807,Shop,Giza,Sheikh Zayed,"Central Avenue, 2nd District, Sheikh Zayed City, Giza",Central Avenue,Shop,420000,monthly,2000.0,210,2,30.027332305908203,31.011045455932617,False,False,Commercial Retail for rent in Strategic Location,New Avenue W,New Avenue Real Estate,2026-05-12
73495268,Shop,Cairo,New Cairo,"Rock Gold Mall, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Rock Gold Mall,Shop,40000,monthly,1739.13,23,1,30.027603149414062,31.52259826660156,False,False,Commercial Space for Rent Rock Mall Prime Location,Mohamed Rasheed,D COMUNITA RE,2026-05-12
73493740,Shop,Cairo,New Cairo,"Street70, District 2, The 5th Settlement, New Cairo City, Cairo",Street70,Shop,165000,monthly,600.0,275,3,30.01462745666504,31.436050415039062,False,False,Showroom for Rent Second District-Fifth Settlement,Mohamed Rasheed,D COMUNITA RE,2026-05-12
73493650,Shop,Cairo,New Cairo,"Sway Mall, Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",Sway Mall,Shop,100000,monthly,1428.57,70,1,30.017772674560547,31.47322654724121,False,False,SWAY Mall | Shop For Rent 70m - prime location,Mariam Mostafa,Summit Real Estate,2026-05-12
73493136,Shop,Cairo,Cairo,"Stoda, Sheraton Al Matar, El Nozha, Cairo",Stoda,Shop,307000,monthly,1598.96,192,none,30.088808059692383,31.3783016204834,False,False,Commercial Retail for in Strategic Location,New Avenue W,New Avenue Real Estate,2026-05-12
73492871,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,130500,monthly,900.0,145,none,30.05227470397949,31.44463348388672,False,False,shop 145 m rent Signature Square Fifth Settlement,Mohamed El Sayed,Summit Real Estate,2026-05-12
